sentence,polarity,Survey ID,cat,SVM_Predicted,NB_Predicted
"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",Positive,180466928,Price,Positive,Positive
"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",Positive,180466928,Product Quality,Positive,Positive
"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",Positive,180466928,Customer Service,Positive,Positive
"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",Positive,180466928,Delivery,Positive,Positive
I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!,Negative,180603946,Price,Positive,Positive
I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,Positive,180860663,Product Quality,Positive,Positive
Box arrived damaged but the cartridges themselves were in perfect condition and worked fine,Positive,181443577,Product Quality,Positive,Positive
Ink lasts a lot longer with the xl. I print color stickers and it will last all month.,Positive,181444285,Others,Positive,Negative
"Ink cartridge works well.  As expected.  Like all OEM cartridges, it is expensive, but last longer than generic",Positive,181602757,Others,Positive,Positive
What could possibly go wrong ???,Negative,181603487,Others,Positive,Positive
These came from Office Depot and arrived very quickly. Thank You,Positive,181607413,Customer Service,Positive,Positive
These came from Office Depot and arrived very quickly. Thank You,Positive,181607413,Delivery,Positive,Positive
A little expensive. But product works great.,Positive,181609130,Price,Positive,Positive
A little expensive. But product works great.,Positive,181609130,Product Quality,Positive,Positive
The black and colored ink were neither one in a box. The expiration dates are ready to expire before I can use them.,Negative,182380680,Others,Negative,Negative
I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,Positive,182795018,Product Quality,Positive,Positive
I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.,Positive,182979040,Product Quality,Positive,Positive
item was as expected and delivery was on time.,Positive,184912651,Others,Positive,Positive
it arrived as promised and i was told that it was at my door - just as ordered and promised,Positive,184917245,Product Quality,Positive,Positive
it arrived as promised and i was told that it was at my door - just as ordered and promised,Positive,184917245,Customer Service,Positive,Positive
Good quality and delivery is fast.,Positive,197949835,Product Quality,Positive,Positive
Good quality and delivery is fast.,Positive,197949835,Customer Service,Positive,Positive
Good quality and delivery is fast.,Positive,197949835,Delivery,Positive,Positive
My Aunt had a project on a deadline and her ink cartridge was running low. There were streaks in her printouts. I ordered the HP black ink cartridge and was able to install it and print out the rest of her documents without issue. Her project deadline was met and she was happy!,Positive,215049849,Product Quality,Negative,Negative
My Aunt had a project on a deadline and her ink cartridge was running low. There were streaks in her printouts. I ordered the HP black ink cartridge and was able to install it and print out the rest of her documents without issue. Her project deadline was met and she was happy!,Positive,215049849,Customer Service,Negative,Negative
This ink works perfect. Especially for the price and for that quick quality print.. I highly recommend it for anyone looking for that quality print.,Positive,215051645,Others,Positive,Positive
Cartridge is fine for the price,Positive,215055190,Others,Positive,Positive
Quick ordering and delivery,Positive,215252362,Delivery,Positive,Positive
Wal-Mart has excelled at fast free delivery to get my printer back in service.,Positive,215257932,Product Quality,Positive,Positive
Wal-Mart has excelled at fast free delivery to get my printer back in service.,Positive,215257932,Customer Service,Positive,Positive
Wal-Mart has excelled at fast free delivery to get my printer back in service.,Positive,215257932,Delivery,Positive,Positive
little pricey but happy with it.,Positive,216387330,Price,Negative,Negative
little pricey but happy with it.,Positive,216387332,Price,Negative,Negative
The black and colored ink were neither one in a box. The expiration dates are ready to expire before I can use them.,Negative,223804599,Others,Negative,Negative
Arrived on time and is very satisfied with the product thank you very much,Positive,233991823,Product Quality,Positive,Positive
Arrived on time and is very satisfied with the product thank you very much,Positive,233991823,Customer Service,Positive,Positive
Arrived on time and is very satisfied with the product thank you very much,Positive,233991823,Delivery,Positive,Positive
"On Jan. 31, 2024, I received HP 2 pack Black/Tricolor Original ink cartridges (Walmart %23 TOA36AN%23140) and inserted them on March 15, 2024.  The black ink was OK but the Tricolor cartridge was empty!!!  I will not order HP ink cartridges from Walmart again!",Negative,239741289,Price,Negative,Negative
"On Jan. 31, 2024, I received HP 2 pack Black/Tricolor Original ink cartridges (Walmart %23 TOA36AN%23140) and inserted them on March 15, 2024.  The black ink was OK but the Tricolor cartridge was empty!!!  I will not order HP ink cartridges from Walmart again!",Negative,239741289,Product Quality,Negative,Negative
"On Jan. 31, 2024, I received HP 2 pack Black/Tricolor Original ink cartridges (Walmart %23 TOA36AN%23140) and inserted them on March 15, 2024.  The black ink was OK but the Tricolor cartridge was empty!!!  I will not order HP ink cartridges from Walmart again!",Negative,239741289,Customer Service,Negative,Negative
"On Jan. 31, 2024, I received HP 2 pack Black/Tricolor Original ink cartridges (Walmart %23 TOA36AN%23140) and inserted them on March 15, 2024.  The black ink was OK but the Tricolor cartridge was empty!!!  I will not order HP ink cartridges from Walmart again!",Negative,239741289,Delivery,Negative,Negative
I use HP and happy with this ink price.,Positive,245952541,Others,Positive,Positive
Ordered online. the product was delivered on time and in good condition.,Positive,245956939,Product Quality,Positive,Positive
Ordered online. the product was delivered on time and in good condition.,Positive,245956939,Customer Service,Positive,Positive
Ordered online. the product was delivered on time and in good condition.,Positive,245956939,Delivery,Positive,Positive
shipping was fadt and hassle free as always quality product,Positive,256818598,Product Quality,Positive,Positive
Prefer HP products %26 this was reasonably priced.,Positive,259655319,Price,Positive,Positive
Prefer HP products %26 this was reasonably priced.,Positive,259655319,Product Quality,Positive,Positive
Quick and easy to order snd had my ink in two days. Saved driving 90 miles round trip to buy it at the store.,Positive,301837131,Product Quality,Positive,Positive
Quick and easy to order snd had my ink in two days. Saved driving 90 miles round trip to buy it at the store.,Positive,301837131,Customer Service,Positive,Positive
Quick and easy to order snd had my ink in two days. Saved driving 90 miles round trip to buy it at the store.,Positive,301837131,Delivery,Positive,Positive
Quick and easy to order snd had my ink in two days. Saved driving 90 miles round trip to buy it at the store.,Positive,301984956,Product Quality,Positive,Positive
Quick and easy to order snd had my ink in two days. Saved driving 90 miles round trip to buy it at the store.,Positive,301984956,Customer Service,Positive,Positive
Quick and easy to order snd had my ink in two days. Saved driving 90 miles round trip to buy it at the store.,Positive,301984956,Delivery,Positive,Positive
Does the job and arrived as expected. The ink is so expensive anymore but it is what it is.,Positive,301985512,Others,Positive,Positive
IT WAS FAST AND EXACTLY WHAT I ORDERED!!!!!!!!,Positive,303714726,Customer Service,Positive,Positive
Fast service and reasonable price,Positive,304093877,Price,Positive,Positive
Fast service and reasonable price,Positive,304093877,Customer Service,Positive,Positive
Good price...fast delivery...,Positive,306894784,Price,Positive,Positive
Good price...fast delivery...,Positive,306894784,Product Quality,Positive,Positive
Good price...fast delivery...,Positive,306894784,Customer Service,Positive,Positive
Good price...fast delivery...,Positive,306894784,Delivery,Positive,Positive
"Ink cartridge works well.  As expected.  Like all OEM cartridges, it is expensive, but last longer than generic",Positive,311437034,Others,Positive,Positive
The cost is significant but I don't want to enroll in the HP ink program.,Negative,311437037,Price,Negative,Negative
I like -  because they are the correct cartridge; cost was a little higher than the previous company; but I am satisfied.,Positive,311437466,Price,Negative,Negative
I like -  because they are the correct cartridge; cost was a little higher than the previous company; but I am satisfied.,Positive,311437466,Product Quality,Negative,Negative
I like -  because they are the correct cartridge; cost was a little higher than the previous company; but I am satisfied.,Positive,311437466,Customer Service,Negative,Negative
Great price. Fast shipping.,Positive,311438572,Price,Positive,Positive
i ordered the wrong cartridge...could not return it as i had opened it...my bad,Negative,311441216,Product Quality,Negative,Negative
i ordered the wrong cartridge...could not return it as i had opened it...my bad,Negative,311441216,Customer Service,Negative,Negative
My Aunt had a project on a deadline and her ink cartridge was running low. There were streaks in her printouts. I ordered the HP black ink cartridge and was able to install it and print out the rest of her documents without issue. Her project deadline was met and she was happy!,Positive,311443314,Product Quality,Negative,Negative
My Aunt had a project on a deadline and her ink cartridge was running low. There were streaks in her printouts. I ordered the HP black ink cartridge and was able to install it and print out the rest of her documents without issue. Her project deadline was met and she was happy!,Positive,311443314,Customer Service,Negative,Negative
"I placed my order for shipping but apparently the warehouse was out of the black ink so they switched to store delivery to ship the color cartridge. When I called customer support I was issued a refund but was also promised an e-mail gift card to cover the reorder since I would now be charged shipping fee. I was placed on hold so she could issue the refund and send me the gift card but somehow was transferred to a different person who transferred me back to customer service only to get someone different who looked in my account, told me that the original person had placed the item back in my cart for me and selected shipping and that the gift card can take a bit to arrive in my email but gave me a promo code for all the confusion which I di...",Negative,311447986,Customer Service,Positive,Positive
"I placed my order for shipping but apparently the warehouse was out of the black ink so they switched to store delivery to ship the color cartridge. When I called customer support I was issued a refund but was also promised an e-mail gift card to cover the reorder since I would now be charged shipping fee. I was placed on hold so she could issue the refund and send me the gift card but somehow was transferred to a different person who transferred me back to customer service only to get someone different who looked in my account, told me that the original person had placed the item back in my cart for me and selected shipping and that the gift card can take a bit to arrive in my email but gave me a promo code for all the confusion which I di...",Negative,311447986,Delivery,Positive,Positive
"It doesn't last as long as it use to. Literally print 20 pages and the ink is gone, whereas it use to print up to 100 pages before needing to be changed. Shame on the company for charging more for less product",Negative,311448242,Price,Negative,Negative
"It doesn't last as long as it use to. Literally print 20 pages and the ink is gone, whereas it use to print up to 100 pages before needing to be changed. Shame on the company for charging more for less product",Negative,311448242,Product Quality,Negative,Negative
"It doesn't last as long as it use to. Literally print 20 pages and the ink is gone, whereas it use to print up to 100 pages before needing to be changed. Shame on the company for charging more for less product",Negative,311579515,Price,Negative,Negative
"It doesn't last as long as it use to. Literally print 20 pages and the ink is gone, whereas it use to print up to 100 pages before needing to be changed. Shame on the company for charging more for less product",Negative,311579515,Product Quality,Negative,Negative
I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,Positive,311876967,Product Quality,Positive,Positive
"It doesn't last as long as it use to. Literally print 20 pages and the ink is gone, whereas it use to print up to 100 pages before needing to be changed. Shame on the company for charging more for less product",Negative,311882919,Price,Negative,Negative
"It doesn't last as long as it use to. Literally print 20 pages and the ink is gone, whereas it use to print up to 100 pages before needing to be changed. Shame on the company for charging more for less product",Negative,311882919,Product Quality,Negative,Negative
I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,Positive,312059475,Product Quality,Positive,Positive
My Aunt had a project on a deadline and her ink cartridge was running low. There were streaks in her printouts. I ordered the HP black ink cartridge and was able to install it and print out the rest of her documents without issue. Her project deadline was met and she was happy!,Positive,312059899,Product Quality,Negative,Negative
My Aunt had a project on a deadline and her ink cartridge was running low. There were streaks in her printouts. I ordered the HP black ink cartridge and was able to install it and print out the rest of her documents without issue. Her project deadline was met and she was happy!,Positive,312059899,Customer Service,Negative,Negative
"HP has always made good printer ink. But for the price they charge for it, it should last a lot longer!",Positive,314202478,Price,Positive,Positive
"HP has always made good printer ink. But for the price they charge for it, it should last a lot longer!",Positive,314202478,Product Quality,Positive,Positive
this item I received ok on delivery,Positive,318922020,Delivery,Positive,Positive
"quick delivery , worked as it should",Positive,325404133,Product Quality,Positive,Positive
"quick delivery , worked as it should",Positive,325404133,Customer Service,Positive,Positive
"quick delivery , worked as it should",Positive,325404133,Delivery,Positive,Positive
"Ink cartridge works well.  As expected.  Like all OEM cartridges, it is expensive, but last longer than generic",Positive,341174992,Others,Positive,Positive
Fast ship good price. It's a shame I had to order this from another walmart and not my local store.,Positive,341175410,Price,Positive,Positive
Fast ship good price. It's a shame I had to order this from another walmart and not my local store.,Positive,341175410,Product Quality,Positive,Positive
Fast ship good price. It's a shame I had to order this from another walmart and not my local store.,Positive,341175410,Customer Service,Positive,Positive
both came in defective,Negative,341183285,Product Quality,Negative,Negative
I have always been able to get my ink from Walmart even when other places have been out of stock .  The price has gone up a little bit but still the best price in town for ink cartridge.,Positive,341473442,Price,Positive,Positive
I have always been able to get my ink from Walmart even when other places have been out of stock .  The price has gone up a little bit but still the best price in town for ink cartridge.,Positive,341473442,Product Quality,Positive,Positive
Price is right and can't beat free shipping. HP ink cartridges are the best!,Positive,342372244,Price,Positive,Positive
Price is right and can't beat free shipping. HP ink cartridges are the best!,Positive,342372244,Product Quality,Positive,Positive
Excellent quality and wear!,Positive,361393342,Product Quality,Positive,Positive
The ink cartridge is good but it is expensive.,Positive,361394278,Price,Negative,Positive
The ink cartridge is good but it is expensive.,Positive,361394278,Product Quality,Negative,Positive
"Won't use anything except an HP made ink cartridge which are way too expensive. 
Goes through all kinds of start up checking when you turn it on. Real pane when all I want to do is print something now. 
I have always bought HP thinking it was the best. Not any more. Looking at replacements already.",Negative,362502859,Price,Negative,Negative
"Won't use anything except an HP made ink cartridge which are way too expensive. 
Goes through all kinds of start up checking when you turn it on. Real pane when all I want to do is print something now. 
I have always bought HP thinking it was the best. Not any more. Looking at replacements already.",Negative,362502859,Product Quality,Negative,Negative
"The HP Smart is very useful. I’ve had some issues when I moved the printer from Canada to California. These were handled by Tech support with efficiency.
I needed an ink shipment and it was sent to my CA address, instead of to Canada. The next shipment will be sent to Ontario as requested.",Negative,362739061,Product Quality,Positive,Positive
"The HP Smart is very useful. I’ve had some issues when I moved the printer from Canada to California. These were handled by Tech support with efficiency.
I needed an ink shipment and it was sent to my CA address, instead of to Canada. The next shipment will be sent to Ontario as requested.",Negative,362739061,Customer Service,Positive,Positive
Easy and convenient ink ordering process. Printer is great.,Positive,365173990,Others,Positive,Positive
"It's not a perfect printer, but being able to print coloured items without costing a fortune and still have the pictures come out looking good is great.
I love that you can see how much ink is in the printer the fact that the ink is reasonable to purchase.
We always used a laser printer before, but it was just too costly to replace the ink when we started printing more colour documents.",Positive,365204290,Product Quality,Positive,Positive
My printer works fine but for some reason its not talking to HP so I am receiving emails telling me my instant ink is not working ??? I ring the 'wireless help line' on the number given in the email and after 30 odd minutes get nowhere and being told constantly that my email address is not recognised by your system then told I would receive a call at 16:30 today its not 17:20 and surprise surprise no call awful service. Case Number 5120451521 - has been Created CRM:0098277000001,Negative,365252354,Product Quality,Negative,Positive
My printer works fine but for some reason its not talking to HP so I am receiving emails telling me my instant ink is not working ??? I ring the 'wireless help line' on the number given in the email and after 30 odd minutes get nowhere and being told constantly that my email address is not recognised by your system then told I would receive a call at 16:30 today its not 17:20 and surprise surprise no call awful service. Case Number 5120451521 - has been Created CRM:0098277000001,Negative,365252354,Customer Service,Negative,Positive
"I thought with a new printer, we had free ink, but I have had two lots of ink delivered and two amounts of £4.49 taken from my bank account.   Where is the free ink promised.   If you were not going to keep to your side of the bargain, perhaps I would have been better off going elsewhere.    I am sending back the cartridges from my replaced printer, a lot of ink left unused.",Negative,365255065,Price,Negative,Negative
"I thought with a new printer, we had free ink, but I have had two lots of ink delivered and two amounts of £4.49 taken from my bank account.   Where is the free ink promised.   If you were not going to keep to your side of the bargain, perhaps I would have been better off going elsewhere.    I am sending back the cartridges from my replaced printer, a lot of ink left unused.",Negative,365255065,Product Quality,Negative,Negative
"I thought with a new printer, we had free ink, but I have had two lots of ink delivered and two amounts of £4.49 taken from my bank account.   Where is the free ink promised.   If you were not going to keep to your side of the bargain, perhaps I would have been better off going elsewhere.    I am sending back the cartridges from my replaced printer, a lot of ink left unused.",Negative,365255065,Customer Service,Negative,Negative
"I thought with a new printer, we had free ink, but I have had two lots of ink delivered and two amounts of £4.49 taken from my bank account.   Where is the free ink promised.   If you were not going to keep to your side of the bargain, perhaps I would have been better off going elsewhere.    I am sending back the cartridges from my replaced printer, a lot of ink left unused.",Negative,365255065,Delivery,Negative,Negative
"I have had to speak to customer support twice. The new printer has no screen to see what the machine is doing or instructions how to change settings. I want to change my setting to 
 economy for lighter ink but no one seems to know how on the Hp chat...",Negative,365300241,Customer Service,Positive,Negative
Very slow printing and the black ink got finished in just 200 pages printing.,Negative,365568742,Others,Negative,Negative
"I have never had a problem with this printer, everything I’ve givin it to print came out great
I would recommend this printer, great buy and quality for the price, and the insta ink is a plus. Anna Steadman",Positive,365615471,Price,Positive,Positive
"I have never had a problem with this printer, everything I’ve givin it to print came out great
I would recommend this printer, great buy and quality for the price, and the insta ink is a plus. Anna Steadman",Positive,365615471,Product Quality,Positive,Positive
"This printer is working well so far, but I have two other HP Printers that print blank pages, even with full ink tanks.",Positive,365729261,Others,Negative,Negative
"This printer was a replacement machine I had, but I was downgraded from what I had my form of printer had a scan tray and had individual ink cartridges, which I prefer the printer I was sent, as of the placement is a downgrade, and I did not appreciate it",Negative,365798675,Product Quality,Negative,Positive
When I need Ink I get ink,Positive,365801986,Others,Negative,Negative
Printer is great - color quality not always on point.,Positive,365810954,Product Quality,Positive,Positive
"I give 8 scarecrows because it doesn't do doble sided printing automatically  and it is hard to figured out how to place the page without messing it out. When you are in a rush and you don't put attention on the drawings you mess out and you end lossing time, paper and ink .  Also when you please correctly the paper for doble sided printing it doesn't mach the sequence.",Negative,365814307,Others,Negative,Negative
We've used HP printers for years.  We've always been pleased with the quality and cost.  This is the first time we are using your ink service.,Positive,366182020,Others,Positive,Positive
Printouts seem very good. Ink is expensive and didn't seem to last very long before I had to purchase ink replacement.,Positive,366552211,Others,Negative,Negative
"Good when it prints ok, ink seems to dry up in the cartridge both black and colour",Positive,366555458,Product Quality,Positive,Negative
"You are just charging me every month I have not received any ink plus I can’t get the printer to stay connected.

I will never buy an hp printer again.

I own 3 with the same problem.",Negative,366564673,Others,Negative,Positive
"I bought the printer and the refill of the ink  then the Printer broke and got printer under warranty when ink ran out tried to use the new ink from old printer told me it was nor able to use ink because it was not the ink with the machine  This is why I am not happy 
Plus when the 1st machine went out it left ink all over the printrer",Negative,366571532,Product Quality,Negative,Negative
"I bought the printer and the refill of the ink  then the Printer broke and got printer under warranty when ink ran out tried to use the new ink from old printer told me it was nor able to use ink because it was not the ink with the machine  This is why I am not happy 
Plus when the 1st machine went out it left ink all over the printrer",Negative,366571532,Customer Service,Negative,Negative
"I am not receiving my ink replacement as regularly as I did with my last HP printer. If I am asked, I will share my good experiences regarding HP, but I choose to allow others to make their own choice.  I do like HP because I chose to purchase another HP printer and participate in their ink program.",Positive,366575287,Others,Positive,Positive
I deliberately chose another HP printer when my last one wore out.  The Envy suits all my families needs whether I'm printing or scanning or photocopying.  All the prints are good quality.  I'm also subscribed to Instant Ink with HP and its one of the best decisions I made.  No Korean running out of ink halfway through something!,Positive,366578196,Product Quality,Positive,Positive
"I like the printer, but the ink is printing very pale, and I need new cartridges. These were recently replaced, and the color is pale. I am not sure why, and the printer gives a message that it needs new cartridges. Please send me new cartridges. Hopefully they will print better. 
Thank you.",Negative,366578206,Product Quality,Negative,Negative
"piece of junk would not stay on line, had to get support every time I had to use it. returned for different hp printer and the ink cartridges were bad from the factory. returned that and bought a Epsom, not a problem, what happened to HP. 
I will never buy another HP product again!",Negative,366609433,Product Quality,Negative,Positive
"piece of junk would not stay on line, had to get support every time I had to use it. returned for different hp printer and the ink cartridges were bad from the factory. returned that and bought a Epsom, not a problem, what happened to HP. 
I will never buy another HP product again!",Negative,366609433,Customer Service,Negative,Positive
The printer works very well. And I am pleased that HP always carries the ink cartridges needed by the OfficeJet Pro 6968 printer whenever I need more ink.,Positive,366728709,Product Quality,Positive,Positive
The printer works very well. And I am pleased that HP always carries the ink cartridges needed by the OfficeJet Pro 6968 printer whenever I need more ink.,Positive,366728709,Customer Service,Positive,Positive
"The quality of the ink supplied is awful. The ink smudges and this is well after it has dried. 
Having to keep the printer on at all times is not cost effective either and the light is not good on the eye at night too.
Poor quality.",Negative,366748411,Product Quality,Positive,Positive
From the very 1st day printer giving white lines in color printing,Negative,366843507,Others,Positive,Positive
I haven’t received any cartridges for nearly a year.,Negative,366859545,Customer Service,Negative,Negative
I enjoy the printer because it allows me to do multiple things and I can receive my ink through mail without having to look around and find ink,Positive,366862004,Others,Negative,Negative
"I like HP and prefer the two cartridge system. However, this printer was not as easy to set up as ones in the past and is a bit more complicated to use. I do like the ink program.",Positive,366870574,Others,Positive,Positive
I like the printer but not having to subscribe for ink. I should be able to use the printer I purchased regardless if I choose to use your ink or not.,Positive,366873378,Others,Negative,Negative
Works very good but ink very pricey.,Positive,366882877,Price,Negative,Positive
My last hp broke down due to bad software so I bought a replacement thinking I could use the ink cartridges from that one but apparently you have to use the set up cartridges while the other ones goto waste... never again will I support am hp product,Negative,366913031,Product Quality,Positive,Positive
My last hp broke down due to bad software so I bought a replacement thinking I could use the ink cartridges from that one but apparently you have to use the set up cartridges while the other ones goto waste... never again will I support am hp product,Negative,366913031,Customer Service,Positive,Positive
I’m really not that impressed at all yet. I signed up and ordered my ink a week ago and still havnt received it. I need this ink and it’s still not here. I’m not happy yet! I’ll let you know. 🤔 Thanks,Negative,366978655,Product Quality,Negative,Negative
I’m really not that impressed at all yet. I signed up and ordered my ink a week ago and still havnt received it. I need this ink and it’s still not here. I’m not happy yet! I’ll let you know. 🤔 Thanks,Negative,366978655,Customer Service,Negative,Negative
I have always had HP printers and found to be very reliable. The ink cartridges arrive in time before running out of ink.,Positive,366987586,Product Quality,Negative,Negative
"Terrible customer support.  Actually NO customer support.  I caouldn't get anyone on the phone.  I canceled my subscription and I still have ink that needs to go back to you.  I couldn't find anywhere to get a return envelope from you so I can mail them back.  Then, I THINK I found that area on your website, but I still haven't received anything from HP to return them.  TERRIBLE customer experience.",Negative,366988458,Customer Service,Negative,Negative
Good printer. Cartridges don't seem to last as long as my last HP printer cartridges,Positive,366991117,Product Quality,Positive,Positive
"I like HP products. I purchased to replace my HPO OfficeALL IN ONE 
that had color issues 
However after purchasing the Envy I was disappointed with having to use the smart app to proces most applications so although it’s only 6 months old I’m going to replace it with one similar to my old one.",Negative,366993002,Product Quality,Negative,Negative
The printer works well and silence..not like another brand.I also enjoyed using it since it has an app that can connect perfectly via over my phone and my laptops.The WiFi direct also works pretty well and easy to connect with just one click button on the printer....The printer result also was quite nice and clear.Only one issue is about the ink catridge is a bit expensive and not as much bigger than the other brands...If the size were same as the price I really love it!,Positive,366997405,Price,Positive,Positive
The printer works well and silence..not like another brand.I also enjoyed using it since it has an app that can connect perfectly via over my phone and my laptops.The WiFi direct also works pretty well and easy to connect with just one click button on the printer....The printer result also was quite nice and clear.Only one issue is about the ink catridge is a bit expensive and not as much bigger than the other brands...If the size were same as the price I really love it!,Positive,366997405,Product Quality,Positive,Positive
"It is an amazing value. Additionally , it is well thought out and functions as advertised. The paper tray seems a bit sticky/ awkward , but works just fine. I’m certain everyone want less expensive ink ; for me, paying less for the printer is. Still a better business model. Thanks!",Positive,366998646,Price,Positive,Positive
"It is an amazing value. Additionally , it is well thought out and functions as advertised. The paper tray seems a bit sticky/ awkward , but works just fine. I’m certain everyone want less expensive ink ; for me, paying less for the printer is. Still a better business model. Thanks!",Positive,366998646,Product Quality,Positive,Positive
